"y","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
3.21612405216721,0,0,0,1,-0.688851312734187,1,0,0,0,0
2.7062016349412,0,0,0,1,-1.42095641698688,1,0,0,0,1
5.25153835123772,0,0,0,1,4.86246674321592,0,0,1,1,0
7.11940105033791,0,0,0,1,1.1520156217739,0,0,1,1,1
4.79389800737552,0,0,1,1,2.07530659157783,0,0,0,0,1
9.41931546561881,1,1,0,0,6.87633249443024,0,0,0,0,0
2.29605666738762,0,0,0,1,2.42770688608289,1,0,1,0,0
5.39859536359773,0,0,1,1,-0.249410187825561,0,0,1,0,1
4.72757476523635,1,0,1,1,-1.62221329286695,0,0,0,0,1
3.06089043111964,1,0,0,1,0.695793996565044,1,0,1,0,0
2.89004119679592,1,0,0,0,3.86608883738518,0,1,1,0,0
1.6303789210207,1,0,0,1,2.3845719313249,1,0,0,0,0
0.843865593823165,1,0,0,1,-3.26547411736101,1,0,0,0,0
6.47529047144374,0,0,0,1,-2.50631166156381,0,0,0,1,1
3.095790019789,0,1,0,0,3.07681345846504,0,0,1,0,1
5.91033460790081,1,0,0,1,-3.67874228395522,0,0,1,1,1
6.65552801331938,1,0,0,1,-2.72698771674186,0,0,1,1,1
2.12835991664819,0,0,0,0,2.53250538837165,0,1,0,0,1
1.96555365475702,0,0,0,1,-2.13795239571482,1,0,1,0,0
2.32362928746632,0,0,0,1,1.30620231386274,1,0,1,0,0
2.4549017599613,1,0,0,1,-1.95679056923836,1,0,1,0,0
5.33181398893312,1,0,0,1,4.52607660554349,0,0,0,1,0
1.20631295423304,0,0,0,0,-6.74980507232249,0,1,1,0,1
0.828650331251506,1,0,1,1,4.91774677298963,0,0,0,0,0
6.56076566944906,0,0,0,1,2.95253159478307,0,0,0,1,1
3.31048060492277,0,0,1,1,-3.88898871373385,0,0,0,0,0
5.11780679710492,1,0,1,1,-0.701566394418478,0,0,0,0,1
2.65526567525887,1,0,0,1,-1.30657921545208,1,0,1,0,1
6.14023584359054,1,0,0,1,-3.60428925137967,0,0,1,1,0
3.44090669526246,0,0,1,1,3.6285853292793,0,0,0,0,1
